Title,SJR,H index,IPP,SNIP,Total Docs. (2013),Total Docs. (3years),Total Refs.,Est. value (USD) (2013),Total Cites (3years),Self-Cites/Total Cites (3years),Uncited Docs./Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Coverage_Duration,Publisher
FEMS Microbiology Reviews,7.687,261,13.7430555555556,4.23239845768848,43,151,8451,1175467.0,2289,0.0087374399301004,0.0529801324503311,143,15.0,196.53,36,Oxford University Press
Journal of Accounting and Economics,7.678,197,5.33606557377049,3.73269225140095,31,127,1647,870585.0,759,0.0592885375494071,0.2125984251968504,122,3.57,53.13,47,Elsevier B.V.
Current Opinion in Genetics and Development,7.643,203,7.90287769784173,1.73677363721415,98,298,5458,2347726.0,2554,0.0074393108848864,0.0738255033557047,278,8.89,55.69,35,Elsevier Ltd
Aldrichimica Acta,7.609,62,12.6111111111111,2.13150553970859,9,18,970,192645.0,240,0.0,0.1111111111111111,18,17.25,107.78,34,Aldrich
Organization Science,7.595,294,4.90740740740741,2.79629715708201,96,276,9072,2062406.0,1828,0.049781181619256,0.1050724637681159,271,5.69,94.5,30,INFORMS Institute for Operations Research and the Management Sciences
Trends in Immunology,7.595,265,10.7162790697674,2.46466260815636,75,228,6650,1783502.0,2718,0.0121412803532008,0.0350877192982456,220,13.64,88.67,31,Elsevier Ltd
Advanced Materials,7.564,675,14.0213903743316,3.69870089061094,884,2473,44718,19201336.0,41949,0.0495840186893608,0.0319450060655074,2440,15.8,50.59,37,Wiley-Blackwell
American Journal of Political Science,7.545,215,3.86631016042781,3.34667177824535,65,191,3646,1482105.0,891,0.0493827160493827,0.1675392670157068,187,3.27,56.09,32,Wiley-Blackwell Publishing Ltd
Annual Review of Physical Chemistry,7.479,189,15.7777777777778,4.7167557563487,28,83,3432,664957.0,1396,0.0078796561604584,0.0481927710843373,81,16.36,122.57,39,Annual Reviews Inc.
"Astrophysical Journal, Supplement Series",7.464,286,11.931914893617,3.2815609000727,173,468,11860,3796409.0,5857,0.0443913266177223,0.1068376068376068,467,13.68,68.55,40,American Astronomical Society
"Vital and health statistics. Series 10, Data from the National Health Survey",7.454,42,20.5555555555556,12.0996047933409,2,11,75,71585.0,244,0.0286885245901639,0.0,11,21.5,37.5,41,"U. S. Department of Health, Education and Welfare, Public Health Service, Health Resources Administration, National Center for Health Statistics"
Journal of Marketing,7.406,296,6.88311688311688,4.47754026449864,48,159,3009,1265613.0,1292,0.0464396284829721,0.0754716981132075,154,5.84,62.69,38,American Marketing Association
Nano Today,7.373,190,15.3225806451613,3.82695170547662,62,193,5114,1429853.0,2327,0.0103137086377309,0.3523316062176165,124,11.37,82.48,21,Elsevier B.V.
Trends in Plant Science,7.363,325,16.038961038961,4.31860120478506,91,265,7070,2120243.0,4418,0.0158442734268899,0.030188679245283,256,14.48,77.69,30,Elsevier Ltd
Annals of Statistics,7.346,202,3.4873417721519,3.13200081079896,96,324,3317,2649731.0,1290,0.0945736434108527,0.1728395061728395,314,2.95,34.55,29,Institute of Mathematical Statistics
Personality and Social Psychology Review,7.343,194,10.7966101694915,6.99487174372331,22,61,2869,482179.0,790,0.0189873417721519,0.0655737704918032,61,11.64,130.41,29,SAGE Publications Inc.
Physical Review X,7.335,198,8.06481481481481,2.81890708995614,47,111,2252,574211.0,968,0.0051652892561983,0.081081081081081,108,8.72,47.91,15,American Physical Society
Nature Reviews Drug Discovery,7.283,412,22.6224066390042,6.25471716403579,211,685,7324,5166496.0,7486,0.0093507881378573,0.4613138686131386,404,9.97,34.71,24,Nature Research
Advances in Optics and Photonics,7.206,91,12.04,9.46149793605604,11,25,1460,190053.0,387,0.0103359173126615,0.04,25,16.4,132.73,16,Optica Publishing Group (formerly OSA)
Review of Economics and Statistics,7.192,211,3.56862745098039,3.46278216200549,117,258,4924,2052777.0,1076,0.0139405204460966,0.1240310077519379,255,3.59,42.09,47,MIT Press Journals
Inventiones Mathematicae,7.167,132,2.49707602339181,3.41806518493695,58,171,2004,1403012.0,467,0.006423982869379,0.1988304093567251,171,2.35,34.55,60,Springer New York
Cold Spring Harbor Perspectives in Biology,7.141,251,8.963772865356594,3.1237438433245135,149,507,19478,3096145.0,5415,0.0105263157894736,0.1617357001972386,506,8.51,130.72,17,Cold Spring Harbor Laboratory Press
Journal of the National Cancer Institute,7.115,394,12.9350961538462,4.3411744572266,337,1059,9573,8225639.0,7091,0.0197433366238894,0.3626062322946176,493,6.63,28.41,86,Oxford University Press
PLoS Genetics,7.107,282,8.17068965517241,1.81620925291562,870,1750,53878,14808180.0,16061,0.0476931697901749,0.044,1740,8.71,61.93,21,Public Library of Science
Living Reviews in Solar Physics,7.106,74,13.5,6.06857737453803,5,18,1585,122708.0,259,0.0347490347490347,0.0,18,12.08,317.0,21,Springer International Publishing AG
Annual Review of Genomics and Human Genetics,7.088,134,9.58928571428571,2.21534626120766,26,56,3156,541859.0,655,0.0137404580152671,0.0357142857142857,56,11.08,121.38,25,Annual Reviews Inc.
Proceedings of the National Academy of Sciences of the United States of America,7.073,896,10.0838917180381,2.73396696916973,4330,12106,173037,97091528.0,127890,0.0278676988036593,0.0643482570626135,11020,9.85,39.96,72,National Academy of Sciences
